note_id,created_at,researcher,related_interview_id,participant_id,note_type,content,product_area_tag,priority,sentiment
RN-0251,2024-10-10 16:27:18,Laura Martinez,,P-017,,mental model mismatch on API versioning placement,,medium,
RN-0252,12/23/2024 09:56,David Kim,,P-109,observation,"""I always forget where billing history lives"" — participant spent ~2min navigating before finding it in payment section",,,
RN-0253,12/08/2024 15:22,David Kim,INT-031,P-056,observation,"""This is actually pretty smooth, I like this"" — P-056 on the advanced filters flow in global search. One of the few unprompted positive comments in the session.",,,
RN-0254,2024-12-25 22:14:29,Laura Martinez,,P-095,insight,trust gap: users verify chart builder externally (esto es un pain point importante),reporting,medium,mixed
RN-0255,11/23/2024 14:38,Laura Martinez,INT-010,P-097,observation,P-097 used workaround for custom filters,,,
RN-0256,2024-10-05 13:21:31,James Chen,INT-026,P-044,insight,"I think the real insight from today's session isn't about drill-down charts specifically but about the entire home screen workflow. When P-044 tried to integrate drill-down charts into their process, they revealed that their actual goal was three steps beyond what our feature supports. We're solving a sub-problem and users have to manually bridge the gap. This came through really clearly and I want to present it at the next product sync. — see JIRA-2302",,,
RN-0257,2024-11-15 11:33:30,James Chen,,P-047,observation,"Watched the participant try to configure field mapping settings and they nailed it on the first try, which was a pleasant surprise given how much trouble P-047 had with the same task last week. The difference might be that this participant came from a data ingestion area background and already had the right mental model for where field mapping would be. So the design works, but only if you already think in this paradigm.",dataimport,low,
RN-0258,11/23/2024 23:52,James Chen,,,Insight,"I think the real insight from today's session isn't about gesture controls specifically but about the entire responsive interface workflow. When P-??? tried to use gesture controls for their daily workflow, they revealed that their actual goal was three steps beyond what our feature supports. We're solving a sub-problem and users have to manually bridge the gap. This came through really clearly and I want to present it at the next product sync.",,medium,negative
RN-0259,2024-10-06 16:17:27,James Chen,,P-070,observation,"The participant opened the dashboard area panel and immediately started scanning the left sidebar for dashboard templates. They didn't find it there so they tried the top nav, then the settings gear, then right-clicked to see if there was a context menu. Finally found it nested under an accordion they hadn't expanded. The whole thing took about 3 minutes. They were polite about it but you could tell they were annoyed. I want to compare this with the heatmap data from the last round to see if the click patterns match.",dashboard,high,
RN-0260,10/15/2024 23:02,Laura Martinez,,P-024,participant_quote,"""fix this one thing"" - P-024 priority signal",notifications,,negative
RN-0261,2024-10-13 14:54:01,Maria Santos,,P-031,action_item,"## Action Item
- Task: Create competitive analysis of Zapier integration implementations
- Owner: @Maria Santos
- Evidence: Participants repeatedly mentioned competitor approaches when trying to fix the Zapier integration workflow in integrations hub
- Priority: Medium
- Deadline: Next sprint
- Dependencies: Need licenses/access to competitor tools",integrations,high,
RN-0262,10/18/2024 07:14,Laura Martinez,INT-007,P-064,action_item,schedule eng sync re: drill-down charts errors,,,neutral
RN-0263,"December 22, 2024",Aisha Patel,INT-969,P-038,feature_request,"- realtime collab on batch import
- team takes turns in import wizard
- spreadsheet to track who's editing
- wants Google Docs-style
- see JIRA-{num}",,,
RN-0264,2024-12-14 08:48:18,Aisha Patel,INT-013,P-033,insight,"- recurring theme: field mapping should be automatic
- manual compare field mapping data across periods seen as burden
- data upload section paradigm wrong
- batch/auto > manual/on-demand
- 3 participants independently said this",import,high,
RN-0265,2024-11-22 16:40:07,Maria Santos,,P-119,quote,"## Participant Quote
- Quote: ""This is the one thing in the product that actually works the way I expect""
- Context: P-119 using dashboard sharing in main dashboard
- Sentiment: Positive — rare unsolicited praise
- Related Theme: Good UX patterns to replicate
- Session Timestamp: ~15min mark @team",,high,mixed
RN-0266,12/20/2024 06:16,James Chen,INT-028,P-034,observation,"So the participant started confidently in subscription area and seemed to know exactly what they wanted to do, which was set up invoice download. But then they hit this wall where invoice download wasn't where they expected it. They opened the help docs in a new tab and searched for it. The fact that they had to leave the product to figure this out is a red flag. Reminds me of the pattern @James Chen flagged in the last sprint review.",payments,low,positive
RN-0267,"October 10, 2024",Maria Santos,,P-117,action_item,"## Action Item
- Task: Add proration settings error states and recovery messages to payment section
- Owner: @product to write specs, @eng to implement
- Evidence: P-117 hit dead-end errors with no recovery path when trying to add missing proration settings capability
- Priority: Critical
- Deadline: Hotfix candidate
- Dependencies: Need error taxonomy from @eng",Billing,,
RN-0268,10/05/2024 03:13,Aisha Patel,INT-032,P-032,quote,"- ""my whole team was confused by this""
- re: custom filters location
- not individual confusion
- team-wide IA issue
- report builder needs restructuring",reporting,,neutral
RN-0269,2024-12-18 12:19:19,Maria Santos,,P-037,pain_point,"## Pain Point
- Issue: batch import performance degrades significantly with large datasets in import wizard
- Severity: Medium-High — blocks power users
- Frequency: Daily for teams with 10k+ records
- User Impact: Users resort to manual export and external processing to load batch import results at scale
- Suggested Fix: Optimize batch import query performance and add progress indicators",data-import,high,
RN-0270,2024-11-29 12:18:53,David Kim,,P-015,observation,"""I always forget where gesture controls lives"" — participant spent ~2min navigating before finding it in mobile section",,medium,negative
RN-0271,2024-12-24 18:09:47,James Chen,,P-114,insight,"One thing that keeps coming up is the disconnect between how we've organized user admin panel and how users think about their work. They don't think in terms of 'permission groups' as a discrete thing — it's part of a larger job-to-be-done that spans multiple product areas. The fact that they have to compare permission groups data across periods in one place and then go somewhere else to complete the workflow is the core friction, not any single UI element.",,low,
RN-0272,"October 16, 2024",David Kim,INT-012,P-027,quote,"""This is the one thing that actually works the way I expect"" — P-027 on import scheduling in data ingestion area. Unprompted. Only positive comment in entire session.",,,
RN-0273,2024-11-23 14:36:09,David Kim,,,quote,"""Before this tool it took three days. Now three hours. Still not great, but better."" — P-??? on field mapping for explain field mapping to a colleague. Mixed sentiment. Acknowledges progress.",import,medium,positive
RN-0274,"November 9, 2024",Aisha Patel,,P-081,quote,"- ""my whole team was confused by this""
- re: report templates location
- not individual confusion
- team-wide IA issue
- reports section needs restructuring",reporting,high,
RN-0275,2024-12-02 10:53:04,Laura Martinez,,P-003,action_item,escalate data loss bug in faceted search,,medium,
RN-0276,11/19/2024 05:55,David Kim,,P-086,todo,"""This should be your top priority, seriously"" — P-086 on push notifications in responsive interface. Action: include verbatim in stakeholder readout. This kind of direct user prioritization carries weight. @David Kim to present. @laura",mob,high,mixed
RN-0277,10/30/2024 19:20,laura martinez,INT-037,P-066,quote,"""I dread opening this"" - notification settings emotional response",Notifications,,
RN-0278,12/04/2024 08:37,aisha patel,INT-011,,observation,"- payment section section
- usr tried navigate to usage dashboard
- used workaround instead of usage dashboard
- didn't know feature existed
- discovered by accident during session",,,
RN-0279,"November 24, 2024",Maria Santos,,PART-062,quote,"## Participant Quote
- Quote: ""I spend more time fighting chart builder than actually doing my job""
- Context: PART-062 attempting to explain chart builder to a colleague in report builder
- Sentiment: Negative — deep frustration with core workflow
- Related Theme: Workflow efficiency in report builder
- Session Timestamp: ~25min mark",,medium,
RN-0280,2024-12-09 22:11:47,James Chen,,P-046,observation,"Interesting moment when the participant tried to complete the KPI cards workflow — they went to the wrong section first, then backtracked to overview page area, clicked around for a while looking for KPI cards. You could see the frustration building. This maps to what we heard from P-046 last week about the same flow being confusing. I think there's a real information architecture issue here that goes beyond just labeling.",,low,neutral
RN-0281,,Laura Martinez,,P-083,observation,"alerts section nav needs rework, alert rules buried",,,
RN-0282,"November 24, 2024",Aisha Patel,INT-003,P-017,pain_point,"- error msgs in data ingestion area unhelpful
- 'something went wrong' - that's it
- P-017 filed support ticket
- hidden file limit on format conversion
- critical fix needed",data-import,,neutral
RN-0283,"November 16, 2024",Maria Santos,,P-029,pain_point,"## Pain Point
- Issue: No way to undo after completing find webhook management in the interface in developer portal
- Severity: High — data loss risk
- Frequency: Occasional but high-impact when it occurs
- User Impact: P-029 described losing 2 hours of work due to accidental overwrite in webhook management
- Suggested Fix: Implement undo/version history for webhook management operations @james",Api,low,
RN-0284,"October 9, 2024",James Chen,INT-050,P-060,feature_request,"Esto es un pain point importante — P-060 needs real-time collaboration on billing history in payment section. Currently their team takes turns and uses a spreadsheet to track who's working on what to avoid conflicts when they share billing history configurations with team. They explicitly compared it to Google Docs and said 'if this worked like that, it would save us hours of coordination.' Given how many teams we're seeing with this pattern, I think collaborative editing should be on the roadmap.",,low,negative
RN-0285,2024-10-10 20:17:11,Aisha Patel,,P-009,,"- opened main dashboard
- scanned for dashboard sharing
- clicked 4 wrong things
- finally found it
- said 'that's not obvious'
- suggest label change",,medium,neutral
RN-0286,12/11/2024 01:13,Aisha Patel,,P-046,action_item,"- TODO: share find section findings with eng
- P-046 blocked by technical limits
- saved searches errors need fix
- schedule sync this week
- critical priority (esto es un pain point importante)",,,
RN-0287,2024-12-06 20:02:37,James Chen,INT-012,PART-061,insight,"Connecting dots across PART-061's session and two from last week — the trust issue with webhook setup in integrations hub is bigger than I initially thought. Users aren't just confused about where to find it, they actively doubt the output accuracy. Two participants mentioned checking results against external tools before sharing with stakeholders. If we can't address the trust gap, feature improvements won't matter.",,,
RN-0288,2024-11-09 16:05:32,Maria Santos,INT-031,P-007,quote,"## Participant Quote
- Quote: ""I showed this to my team and they all said the same thing — where's the OAuth setup?""
- Context: P-007 describing team reaction to API settings
- Sentiment: Negative — widespread confusion, not individual
- Related Theme: Feature discoverability
- Session Timestamp: ~30min mark",,medium,mixed
RN-0289,2024-12-30 12:02:57,Laura Martinez,,P-074,feature_request,wants bulk share mobile navigation configurations with team for mobile navigation,moble,,positive
